Country,Indicator,Unit,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
"Afghanistan, Islamic Rep. of",Explicit Fossil Fuel Subsidies - Coal,USD at constant 2021 prices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Afghanistan, Islamic Rep. of",Explicit Fossil Fuel Subsidies - Electricity,USD at constant 2021 prices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Afghanistan, Islamic Rep. of",Explicit Fossil Fuel Subsidies - Natural Gas,USD at constant 2021 prices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Afghanistan, Islamic Rep. of",Explicit Fossil Fuel Subsidies - Petroleum,USD at constant 2021 prices,253.023,264.037,223.628,41604091.55,36861933.38,241.16,145645135.0,435907964.8,95078614.76,35298756.71,22165437.54,10367551.78,3.64,0.0,0.0,0.0
"Afghanistan, Islamic Rep. of",Explicit Fossil Fuel Subsidies - Total,USD at constant 2021 prices,253.023,264.037,223.628,41604091.55,36861933.38,241.16,145645135.0,435907964.8,95078614.76,35298756.71,22165437.54,10367551.78,3.64,0.0,0.0,0.0
"Afghanistan, Islamic Rep. of",Fossil Fuel Subsidies - Total Implicit and Explicit,USD at constant 2021 prices,921795165.4,731458976.5,828106544.6,1158454184.0,1356822787.0,1300619927.0,1810262178.0,2283950153.0,2064625111.0,1996528619.0,2050356984.0,2102863320.0,2155712124.0,2210504195.0,2269509307.0,2330534278.0
"Afghanistan, Islamic Rep. of",Fossil Fuel Subsidies - Total Implicit and Explicit -  Natural Gas,USD at constant 2021 prices,0.0,0.0,0.0,0.0,15941657.87,15490918.0,16659423.98,15447341.98,24182322.79,24677036.42,26367316.96,28242229.17,29474886.26,30464991.95,31277707.83,32094981.71
"Afghanistan, Islamic Rep. of",Fossil Fuel Subsidies - Total Implicit and Explicit - Coal,USD at constant 2021 prices,297586597.7,308467173.7,380033214.7,441743227.0,475003300.3,474392758.6,547984219.5,572351797.9,741454865.4,765206838.4,797729321.9,826456102.0,854104627.1,882211820.4,911163284.9,940829082.3
"Afghanistan, Islamic Rep. of",Fossil Fuel Subsidies - Total Implicit and Explicit - Electricity,USD at constant 2021 prices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Afghanistan, Islamic Rep. of",Fossil Fuel Subsidies - Total Implicit and Explicit - Petroleum,USD at constant 2021 prices,624208567.8,422991802.8,448073329.9,716710957.5,865877828.9,810736249.9,1245618535.0,1696151013.0,1298987923.0,1206644744.0,1226260346.0,1248164989.0,1272132610.0,1297827383.0,1327068314.0,1357610214.0
"Afghanistan, Islamic Rep. of",Implicit Fossil Fuel Subsidies - Accidents,USD at constant 2021 prices,164446626.6,109755642.7,114351810.5,178872978.9,218162305.0,211671384.1,237466765.2,250443037.8,250547254.1,250728512.2,259534894.6,268678964.8,278139693.3,286014185.3,295097275.3,304616990.9
"Afghanistan, Islamic Rep. of",Implicit Fossil Fuel Subsidies - Coal,USD at constant 2021 prices,297586597.7,308467173.7,380033214.7,441743227.0,475003300.3,474392758.6,547984219.5,572351797.9,741454865.4,765206838.4,797729321.9,826456102.0,854104627.1,882211820.4,911163284.9,940829082.3
"Afghanistan, Islamic Rep. of",Implicit Fossil Fuel Subsidies - Congestion,USD at constant 2021 prices,58795862.38,39241775.87,40885078.97,63953826.66,78001240.45,68354097.9,75648163.78,76245921.87,72903666.96,69820299.81,69188737.55,68673739.98,68212258.94,67345385.09,66778108.42,66306509.06
"Afghanistan, Islamic Rep. of",Implicit Fossil Fuel Subsidies - Electricity,USD at constant 2021 prices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Afghanistan, Islamic Rep. of",Implicit Fossil Fuel Subsidies - Foregone VAT,USD at constant 2021 prices,0.0,0.0,0.0,0.0,0.0,0.0,274804935.1,339205996.7,327977337.1,306068570.7,309183926.2,312311481.4,315516114.1,318678628.9,322301799.5,326082465.3
